decade,word,tf,occurrences
1500-1550,espaignolz,0.004081632653061225,[56531]
1500-1550,es,0.004081632653061225,[56531]
1500-1550,isl,0.004081632653061225,[56531]
1500-1550,dun,0.00816326530612245,"[66268, 70502]"
1500-1550,scotu,0.00816326530612245,"[66268, 70502]"
1500-1550,baldelli,0.004081632653061225,[66272]
1500-1550,francesco,0.00816326530612245,"[66272, 76351]"
1500-1550,activ,0.004081632653061225,[66272]
1500-1550,centuri,0.004081632653061225,[66272]
1500-1550,pelbartu,0.004081632653061225,[67484]
1500-1550,themeswar,0.004081632653061225,[67484]
1500-1550,stella,0.004081632653061225,[71849]
1500-1550,erasmu,0.004081632653061225,[71849]
1500-1550,andernacum,0.004081632653061225,[71850]
1500-1550,guinterium,0.004081632653061225,[71850]
1500-1550,ioannem,0.004081632653061225,[71850]
1500-1550,landschad,0.004081632653061225,[71852]
1500-1550,steinach,0.004081632653061225,[71852]
1500-1550,han,0.004081632653061225,[71852]
1500-1550,cathol,0.00816326530612245,"[73422, 77562]"
1500-1550,nichola,0.004081632653061225,[73422]
1500-1550,pastorali,0.004081632653061225,[73422]
1500-1550,officii,0.004081632653061225,[73422]
1500-1550,rinucci,0.004081632653061225,[76351]
1500-1550,joannesanglicusexposition,0.004081632653061225,[76653]
1500-1550,super,0.004081632653061225,[76653]
1500-1550,quaestion,0.004081632653061225,[76653]
1500-1550,johanni,0.004081632653061225,[76653]
1500-1550,scoti,0.004081632653061225,[76653]
1500-1550,universalibu,0.004081632653061225,[76653]
1500-1550,pirckheim,0.004081632653061225,[76917]
1500-1550,siluestro,0.004081632653061225,[77198]
1500-1550,cologn,0.004081632653061225,[77562]
1500-1550,germani,0.004081632653061225,[77562]
1500-1550,council,0.004081632653061225,[77562]
1500-1550,frecht,0.004081632653061225,[78534]
1500-1550,martin,0.004081632653061225,[78534]
1500-1550,maioragiu,0.004081632653061225,[78537]
1500-1550,marcu,0.00816326530612245,"[78537, 79960]"
1500-1550,schatzgey,0.004081632653061225,[79958]
1500-1550,kaspar,0.004081632653061225,[79958]
1500-1550,varro,0.004081632653061225,[79960]
1500-1550,terentiu,0.004081632653061225,[79960]
1500-1550,gesner,0.00816326530612245,"[79970, 90977]"
1500-1550,conrad,0.00816326530612245,"[79970, 90977]"
1500-1550,palingeniu,0.004081632653061225,[79974]
1500-1550,marcellu,0.004081632653061225,[79974]
1500-1550,fracastoro,0.004081632653061225,[83191]
